code	producer_version_id	lc	product_name_de	product_name_en	product_name_es	product_name_fi	product_name_fr	product_name_hu	product_name_it	product_name_nb	product_name_pl	product_name_ru	product_name_se	product_name_sv	abbreviated_product_name_fr	generic_name_de	generic_name_en	generic_name_fr	generic_name_nl	generic_name_sv	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_it	origin_sv	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fi	ingredients_text_fr	ingredients_text_it	ingredients_text_nb	ingredients_text_nl	ingredients_text_pl	ingredients_text_sv	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kj_prepared_value	energy-kj_prepared_unit	energy-kcal_value	energy-kcal_unit	energy-kcal_prepared_value	energy-kcal_prepared_unit	fat_value	fat_unit	fat_prepared_value	fat_prepared_unit	saturated-fat_value	saturated-fat_unit	saturated-fat_prepared_value	saturated-fat_prepared_unit	carbohydrates_value	carbohydrates_unit	carbohydrates_prepared_value	carbohydrates_prepared_unit	sugars_value	sugars_unit	sugars_prepared_value	sugars_prepared_unit	fiber_value	fiber_unit	fiber_prepared_value	fiber_prepared_unit	proteins_value	proteins_unit	proteins_prepared_value	proteins_prepared_unit	salt_value	salt_unit	salt_prepared_value	salt_prepared_unit	sodium_value	sodium_unit	sodium_prepared_value	sodium_prepared_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	energy_prepared_value	energy_prepared_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	iron_value	iron_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_3_shape	packaging_3_material	conservation_conditions_fr	preparation_fr	customer_service_fr	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	sources_fields:org-gs1:productionVariantDescription	sources_fields:org-gs1:publicationDateTime	data_sources
4013259510127		de	Spagetti																		500g				Möve, Möve	move,move						Deutschland	en:germany			0																									100g	100g					352	kcal			1.5	g			0.4	g			71	g			3	g			3	g			12	g													352	kcal																																								unknown			unknown		1		-5	-15	1	0																App - Yuka, Apps, App - Speisekammer
8019730058948		it					Spagetti integrali biologici																		MD	md						Francia, Italia	en:france,en:italy	MD	md	0																									100g	100g					382	kcal			1.7	g			0.3	g			75	g			4	g							12.5	g			0	g			0	g					382	kcal																																								unknown			unknown		1		-5	-15	1	0																App - yuka, Apps
6970218350089		en		Organic back soybeen spagetti																										Organic, Vegetarian, EU Organic, No gluten, Vegan, The Vegan Society	en:organic,en:vegetarian,en:eu-organic,en:no-gluten,en:vegan,en:the-vegan-society	United Kingdom	en:united-kingdom			0																									100g	100g					329.4118	kcal			7.0588	g			1.1765	g			38.8235	g			7.0588	g							43.5294	g													329.4118	kcal																																								unknown			unknown		1		-5	-15	1	15																App - yuka, Apps
85410800		en		explore organic black bean spagetti																										No gluten	en:no-gluten	United States	en:united-states			0											"sauce: • 8oz (227g) organic black bean spaghetti • 1 cup of cherry tomatoes , roasted with provencal herbs in a dash of olive oil • 4oz fresh tofu cubed • 1/2 cup red cabbage finely chopped • 4 baby sweet peppers finely cubed (seeds removed) • 4 small radishes finely sliced •2 tbsp soy sauce • 2 tbsp olive oil • 4 tsp water 3 tbsp sugar 2 cloves of garlic crushed 1 tsp ginger finely grated cooking instructions:   pasta: prepare according to above instructions, sauce: bring water and soy to boil add sugar, garlic , ginger, mix, simmer for 5 minutes, add olive oil, stir well, • fry herbed tomatoes for 10 minu • fold in blanched vegetables, • mix gently together all ingredient with sauce, garnish with thyme - se •2 spring onions sliced 1 cup of beansprouts thyme for garnish %#useyournoodle share your recipes with us #explorerecipes f facebook/explorecuisine instagram/explo,"														100g	100g																																																																																				unknown			unknown		1		-5	-15	1	0																App - InFood, Apps
4260055050177		de	Dinkel Spagetti																		1pcs				Adamshof	adamshof						Deutschland	en:germany			0																									100g	100g																																																																																				unknown			unknown		1		-5	-15	1	0																App - Speisekammer, Apps
9008050120342		it							Spagetti																							Italia	en:italy			0																									100g	100g					351	kcal			1.5	g			0.3	g			69	g			3.4	g			2.9	g			14	g			0	g			0	g					351	kcal																																								unknown			unknown		1		-5	-15	1	0																App - Yuka, Apps
5413848635665		fr					Bio Spagetti																		Come A Casa	come-a-casa				Bio	en:organic	Belgique	en:belgium			0																									100g	100g					156	kcal			6.6999998092651	g			1.6000000238419	g			18	g			2.5999999046326	g							5.6999998092651	g			0.73000001907349	g			0.292000007629396	g					156	kcal																																								unknown			unknown		1		-5	-15	1	0																App - yuka, Apps
4061462577628		en		Spagetti noodles																	16 oz											United States	en:united-states			0																									100g	100g					357.14285714286	kcal			1.7857142857143	g			0	g			75	g			3.5714285714286	g			3.5714285714286	g			10.714285714286	g			0	g			0	g					357.14285714286	kcal																																								unknown			unknown		1		-5	-15	1	0																App - Yuka, Apps
4001639010756		de	Spagetti Würzzubereitung																		40g				Wagner	wagner						Deutschland	en:germany			0																									100g	100g																																																																																				unknown			unknown		1		-5	-15	1	0																App - Speisekammer, Apps
9421904909342		en		Soy bean organic spagetti																	200 g											Australia	en:australia			0																									100g	100g					39.333333333333	kcal			0.8	g			0.66666666666667	g			2.3333333333333	g			1.2	g			2.2666666666667	g			4.6666666666667	g													39.333333333333	kcal																																								unknown			unknown		1		-5	-15	1	0																App - Yuka, Apps
